Provinsi,Kode_Kab,Kabupaten_Kota,Bulan,Luas_Panen
JAWA TIMUR,3520.0,MAGETAN,Januari,127.07
JAWA TIMUR,3521.0,NGAWI,Januari,2113.0
JAWA TIMUR,3522.0,BOJONEGORO,Januari,2737.1400000000003
JAWA TIMUR,3523.0,TUBAN,Januari,7198.120000000001
JAWA TIMUR,3524.0,LAMONGAN,Januari,643.27
JAWA TIMUR,3525.0,GRESIK,Januari,119.91
JAWA TIMUR,3526.0,BANGKALAN,Januari,0.0
JAWA TIMUR,3527.0,SAMPANG,Januari,0.0
JAWA TIMUR,3528.0,PAMEKASAN,Januari,0.0
JAWA TIMUR,3529.0,SUMENEP,Januari,24.69
JAWA TIMUR,3571.0,KEDIRI,Januari,35.82
JAWA TIMUR,3572.0,BLITAR,Januari,0.0
JAWA TIMUR,3573.0,MALANG,Januari,123.88
JAWA TIMUR,3574.0,PROBOLINGGO,Januari,21.21
JAWA TIMUR,3575.0,PASURUAN,Januari,94.53
JAWA TIMUR,3576.0,MOJOKERTO,Januari,16.23
JAWA TIMUR,3577.0,MADIUN,Januari,12.1
JAWA TIMUR,3578.0,SURABAYA,Januari,50.239999999999995
JAWA TIMUR,3579.0,BATU,Januari,90.23
BANTEN,3601.0,PANDEGLANG,Januari,809.57
BANTEN,3602.0,LEBAK,Januari,487.43
BANTEN,3603.0,TANGERANG,Januari,590.05
BANTEN,3604.0,SERANG,Januari,520.79
BANTEN,3671.0,TANGERANG,Januari,8.68
BANTEN,3672.0,CILEGON,Januari,8.74
BANTEN,3673.0,SERANG,Januari,109.04
BANTEN,3674.0,TANGERANG SELATAN,Januari,0.0
BALI,5101.0,JEMBRANA,Januari,131.08
BALI,5102.0,TABANAN,Januari,2497.81
BALI,5103.0,BADUNG,Januari,476.58
BALI,5104.0,GIANYAR,Januari,2368.3500000000004
BALI,5105.0,KLUNGKUNG,Januari,720.04
BALI,5106.0,BANGLI,Januari,403.25
BALI,5107.0,KARANGASEM,Januari,712.61
BALI,5108.0,BULELENG,Januari,1363.32
BALI,5171.0,DENPASAR,Januari,0.0
